accident_index,accident_date,day_of_week,junction_control,junction_detail,accident_severity,light_conditions,local_authority,carriageway_hazards,number_of_casualties,number_of_vehicles,police_force,road_surface_conditions,road_type,speed_limit,time,urban_or_rural_area,weather_conditions,vehicle_type
BS0000273,26-03-2021,Thursday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Dual carriageway,30,11:30,Urban,Fine no high winds,Car
BS0000162,26-04-2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,4,2,Metropolitan Police,Dry,Single carriageway,30,13:51,Urban,Fine no high winds,Car
BS0000170,26-04-2021,Sunday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,None,2,2,Metropolitan Police,Dry,Single carriageway,30,17:50,Urban,Fine no high winds,Car
BS0000172,26-04-2021,Sunday,Auto traffic signal,Crossroads,Slight,Daylight,Westminster,None,1,2,Metropolitan Police,Dry,Single carriageway,30,19:20,Urban,Fine no high winds,Car
BS0000186,26-04-2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,5,5,Metropolitan Police,Dry,Single carriageway,30,15:49,Urban,Fine no high winds,Car
BS0000208,26-05-2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,9:00,Urban,Raining no high winds,Car
BS0000276,26-06-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,One way street,30,15:40,Urban,Fine no high winds,Car
BS0000350,26-07-2021,Sunday,Give way or uncontrolled,Crossroads,Serious,Darkness - lights lit,Kensington and Chelsea,None,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,20:51,Urban,Raining no high winds,Car
BS0000354,26-07-2021,Sunday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,3:40,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000460,26-09-2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,18:08,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000020,27-01-2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,0:28,Urban,Fine no high winds,Car
BS0000032,27-01-2021,Tuesday,Auto traffic signal,Crossroads,Serious,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,12:30,Urban,Fine no high winds,Car
BS0000061,27-02-2021,Friday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,15:40,Urban,Fine no high winds,Car
BS0000115,27-03-2021,Friday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,20:15,Urban,Fine no high winds,Car
BS0000117,27-03-2021,Friday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,10:00,Urban,Fine no high winds,Car
BS0000129,27-03-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,7:05,Urban,Fine no high winds,Car
BS0000167,27-04-2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,7:35,Urban,Fine no high winds,Motorcycle over 500cc
BS0000168,27-04-2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,19:57,Urban,Fine no high winds,Car
BS0000169,27-04-2021,Monday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Wet or damp,One way street,30,13:45,Urban,Raining no high winds,Goods over 3.5t. and under 7.5t
BS0000280,27-06-2021,Saturday,Auto traffic signal,Crossroads,Serious,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,20:04,Urban,Fine no high winds,Car
BS0000284,27-06-2021,Saturday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,15:32,Urban,Fine no high winds,Car
BS0000302,27-06-2021,Saturday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,9:30,Urban,Fine no high winds,Car
BS0000308,27-06-2021,Saturday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,19:05,Urban,Raining no high winds,Car
BS0000362,27-07-2021,Monday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Dual carriageway,30,22:00,Urban,Fine no high winds,Car
BS0000408,27-08-2021,Thursday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,13:35,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000413,27-08-2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,17:19,Urban,Fine no high winds,Car
BS0000449,27-09-2021,Sunday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,23:30,Urban,Fine no high winds,Car
BS0000484,27-09-2021,Sunday,Give way or uncontrolled,T or staggered junction,Serious,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,7:15,Urban,Fine no high winds,Motorcycle over 500cc
BS0000496,27-09-2021,Sunday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,13:20,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
BS0000031,28-01-2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Wet or damp,One way street,30,7:45,Urban,Raining no high winds,Car
BS0000040,28-01-2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,11:15,Urban,Raining no high winds,Car
BS0000046,28-01-2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,19:53,Urban,Raining no high winds,Car
BS0000154,28-01-2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Serious,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,13:30,Urban,Fine no high winds,Other vehicle
BS0000091,28-02-2021,Saturday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,6:12,Urban,Fine no high winds,Car
BS0000116,28-03-2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,12:40,Urban,Fine no high winds,Car
BS0000118,28-03-2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,5:30,Urban,Fine no high winds,Car
BS0000119,28-03-2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Serious,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,6:30,Urban,Fine no high winds,Car
BS0000120,28-03-2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,17:21,Urban,Raining no high winds,Car
BS0000122,28-03-2021,Saturday,Give way or uncontrolled,More than 4 arms (not roundabout),Slight,Daylight,Kensington and Chelsea,None,2,4,Metropolitan Police,Wet or damp,Single carriageway,30,16:35,Urban,Fine no high winds,Car
BS0000142,28-03-2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Serious,Darkness - lights lit,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,21:45,Urban,Fine no high winds,Car
BS0000213,28-05-2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,3,Metropolitan Police,Dry,Dual carriageway,30,7:20,Urban,Fine no high winds,Car
BS0000218,28-05-2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,8:30,Urban,Fine no high winds,Car
BS0000221,28-05-2021,Thursday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,18:55,Urban,Fine no high winds,Car
BS0000226,28-05-2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,13:52,Urban,Fine no high winds,Car
BS0000277,28-06-2021,Sunday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,3,Metropolitan Police,Dry,Single carriageway,30,22:50,Urban,Fine no high winds,Car
BS0000352,28-07-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,9:45,Urban,Fine no high winds,Car
BS0000355,28-07-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,9:14,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000356,28-07-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,8:03,Urban,Fine no high winds,Car
BS0000358,28-07-2021,Tuesday,Give way or uncontrolled,Crossroads,Serious,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,8:20,Urban,Fine no high winds,Car
BS0000380,28-07-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,12:46,Urban,Fine no high winds,Car
BS0000410,28-08-2021,Friday,Give way or uncontrolled,Mini-roundabout,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Roundabout,30,12:37,Urban,Fine no high winds,Car
BS0000412,28-08-2021,Friday,Give way or uncontrolled,Crossroads,Serious,Daylight,Kensington and Chelsea,None,2,1,Metropolitan Police,Dry,Single carriageway,30,14:45,Urban,Fine no high winds,Car
BS0000456,28-09-2021,Monday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,8:05,Urban,Fine no high winds,Car
BS0000463,28-09-2021,Monday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,12:00,Urban,Fine no high winds,Motorcycle over 500cc
BS0000474,28-09-2021,Monday,Give way or uncontrolled,T or staggered junction,Serious,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,8:40,Urban,Fine no high winds,Motorcycle 125cc and under
BS0000027,29-01-2021,Thursday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,8:20,Urban,Fine no high winds,Car
BS0000029,29-01-2021,Thursday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,15:50,Urban,Fine no high winds,Car
BS0000035,29-01-2021,Thursday,Auto traffic signal,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,20:35,Urban,Fine no high winds,Car
BS0000047,29-01-2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,14:05,Urban,Fine no high winds,Motorcycle 125cc and under
BS0000135,29-03-2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,16:35,Urban,Fine no high winds,Car
BS0000171,29-04-2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,None,2,2,Metropolitan Police,Dry,Single carriageway,30,19:37,Urban,Fine no high winds,Car
BS0000182,29-04-2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,0:25,Urban,Fine no high winds,Car
BS0000187,29-04-2021,Wednesday,Auto traffic signal,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,3,Metropolitan Police,Dry,Single carriageway,30,0:25,Urban,Fine no high winds,Car
BS0000188,29-04-2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,11:10,Urban,Fine no high winds,Car
BS0000220,29-05-2021,Friday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,8:15,Urban,Fine no high winds,Car
BS0000232,29-05-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,15:10,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000282,29-06-2021,Monday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,2,1,Metropolitan Police,Dry,Dual carriageway,30,8:30,Urban,Fine no high winds,Car
BS0000286,29-06-2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,9:20,Urban,Other,Car
BS0000359,29-07-2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,16:16,Urban,Fine no high winds,Car
BS0000361,29-07-2021,Wednesday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,13:10,Urban,Fine no high winds,Car
BS0000363,29-07-2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,7:52,Urban,Raining no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000365,29-07-2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,18:00,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000367,29-07-2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,12:35,Urban,Fine no high winds,Car
BS0000479,29-09-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Westminster,None,1,2,Metropolitan Police,Dry,Single carriageway,30,10:20,Urban,Fine no high winds,Car
BS0000045,30-01-2021,Friday,Auto traffic signal,Roundabout,Slight,Daylight,Hammersmith and Fulham,None,1,2,Metropolitan Police,Dry,Dual carriageway,30,8:28,Urban,Fine no high winds,Goods over 3.5t. and under 7.5t
BS0000124,30-03-2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,19:35,Urban,Fine no high winds,Car
BS0000174,30-03-2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Dual carriageway,30,18:25,Urban,Fine no high winds,Car
BS0000173,30-04-2021,Thursday,Auto traffic signal,More than 4 arms (not roundabout),Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,19:20,Urban,Fine no high winds,Car
BS0000175,30-04-2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,9:30,Urban,Fine no high winds,Car
BS0000238,30-05-2021,Saturday,Give way or uncontrolled,Private drive or entrance,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,12:30,Urban,Fine no high winds,Car
BS0000216,30-06-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,12:45,Urban,Fine no high winds,Motorcycle 50cc and under
BS0000288,30-06-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,12:00,Urban,Fine no high winds,Car
BS0000289,30-06-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,11:37,Urban,Fine no high winds,Car
BS0000327,30-06-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,10:20,Urban,Fine no high winds,Car
BS0000465,30-09-2021,Wednesday,Give way or uncontrolled,Roundabout,Serious,Darkness - lights lit,Hammersmith and Fulham,None,3,2,Metropolitan Police,Dry,Roundabout,40,19:25,Urban,Fine no high winds,Car
BS0000468,30-09-2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,18:50,Urban,Fine no high winds,Car
BS0000470,30-09-2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,16:40,Urban,Fine no high winds,Car
BS0000023,31-01-2021,Saturday,Auto traffic signal,Crossroads,Serious,Daylight,Kensington and Chelsea,None,2,2,Metropolitan Police,Dry,Single carriageway,30,14:20,Urban,Fine no high winds,Car
BS0000025,31-01-2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,None,2,2,Metropolitan Police,Dry,Single carriageway,30,22:30,Urban,Fine no high winds,Car
BS0000026,31-01-2021,Saturday,Give way or uncontrolled,T or staggered junction,Serious,Daylight,Kensington and Chelsea,None,2,1,Metropolitan Police,Dry,Single carriageway,30,13:50,Urban,Fine no high winds,Car
BS0000028,31-01-2021,Saturday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,20,12:03,Urban,Fine no high winds,Car
BS0000030,31-01-2021,Saturday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,1:01,Urban,Fine no high winds,Car
BS0000033,31-01-2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Dual carriageway,30,10:08,Urban,Fine no high winds,Car
BS0000127,31-03-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,7:15,Urban,Fine no high winds,Car
BS0000128,31-03-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,16:25,Urban,Fine no high winds,Car
BS0000224,31-05-2021,Sunday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,None,1,3,Metropolitan Police,Dry,Dual carriageway,30,10:36,Urban,Fine no high winds,Car
BS0000225,31-05-2021,Sunday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,16:01,Urban,Fine no high winds,Car
BS0000252,31-05-2021,Sunday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,10:30,Urban,Fine no high winds,Car
BS0000376,31-07-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,13:35,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000378,31-07-2021,Friday,Auto traffic signal,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,23:20,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000381,31-07-2021,Friday,Auto traffic signal,Crossroads,Serious,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Dual carriageway,30,7:38,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000409,31-08-2021,Monday,Auto traffic signal,Crossroads,Serious,Darkness - lights lit,Kensington and Chelsea,None,2,2,Metropolitan Police,Dry,Single carriageway,30,3:40,Urban,Fine no high winds,Car
BS0000411,31-08-2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,22:00,Urban,Fine no high winds,Car
BS0000414,31-08-2021,Monday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,One way street,30,16:40,Urban,Fine no high winds,Car